# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 1.0
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.9125 2.768948 0.080844
0.9150 2.768141 0.08059
0.9175 2.767341 0.080337
0.9200 2.766546 0.080087
0.9225 2.76576 0.079839
0.9250 2.764979 0.079592
0.9275 2.764205 0.079348
0.9300 2.763438 0.079106
0.9325 2.762677 0.078866
0.9350 2.761922 0.078627
0.9375 2.761173 0.078391
0.9400 2.760431 0.078156
0.9425 2.759694 0.077923
0.9450 2.758965 0.077692
0.9475 2.75824 0.077463
0.9500 2.757521 0.077237
0.9525 2.756808 0.077011
0.9550 2.756102 0.076787
0.9575 2.7554 0.076565
0.9600 2.754705 0.076345
0.9625 2.754015 0.076127
0.9650 2.753331 0.07591
0.9675 2.752651 0.075694
0.9700 2.751978 0.07548
0.9725 2.75131 0.075268
0.9750 2.750646 0.075058
0.9775 2.749988 0.074849
0.9800 2.749335 0.074642
0.9825 2.748687 0.074437
0.9850 2.748044 0.074232
0.9875 2.747407 0.074029
0.9900 2.746774 0.073829
0.9925 2.746146 0.073629
0.9950 2.745523 0.07343
0.9975 2.744904 0.073234
1.0000 2.744291 0.073038
