# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 0.1
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.9400 3.117509 0.091174
0.9425 3.116527 0.090865
0.9450 3.115556 0.090558
0.9475 3.114592 0.090253
0.9500 3.113636 0.089952
0.9525 3.112689 0.089653
0.9550 3.11175 0.089356
0.9575 3.11082 0.089062
0.9600 3.109897 0.08877
0.9625 3.108982 0.088481
0.9650 3.108076 0.088194
0.9675 3.107177 0.08791
0.9700 3.106284 0.087628
0.9725 3.105401 0.087348
0.9750 3.104524 0.08707
0.9775 3.103655 0.086795
0.9800 3.102793 0.086522
0.9825 3.101939 0.08625
0.9850 3.101091 0.085982
0.9875 3.100251 0.085715
0.9900 3.099418 0.08545
0.9925 3.098591 0.085188
0.9950 3.097771 0.084928
0.9975 3.096958 0.084669
1.0000 3.096152 0.084413
