# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
3.6800000E-01,4.0883586E+00,2.5473825E+00
3.6900000E-01,4.0938541E+00,2.5379179E+00
3.7000000E-01,4.0993496E+00,2.5284534E+00
3.7100000E-01,4.1048452E+00,2.5189888E+00
3.7200000E-01,4.1098620E+00,2.5085739E+00
3.7300000E-01,4.1147514E+00,2.4979061E+00
3.7400000E-01,4.1196408E+00,2.4872383E+00
3.7500000E-01,4.1245302E+00,2.4765705E+00
3.7600000E-01,4.1289181E+00,2.4657867E+00
3.7700000E-01,4.1320801E+00,2.4547197E+00
3.7800000E-01,4.1352421E+00,2.4436526E+00
3.7900000E-01,4.1384041E+00,2.4325856E+00
3.8000000E-01,4.1415661E+00,2.4215185E+00
3.8100000E-01,4.1447282E+00,2.4104514E+00
3.8200000E-01,4.1478902E+00,2.3993844E+00
3.8300000E-01,4.1504870E+00,2.3883825E+00
3.8400000E-01,4.1519504E+00,2.3775115E+00
3.8500000E-01,4.1534138E+00,2.3666404E+00
3.8600000E-01,4.1548772E+00,2.3557694E+00
3.8700000E-01,4.1563406E+00,2.3448983E+00
3.8800000E-01,4.1567032E+00,2.3342116E+00
3.8900000E-01,4.1561629E+00,2.3236760E+00
3.9000000E-01,4.1556226E+00,2.3131405E+00
3.9100000E-01,4.1550823E+00,2.3026050E+00
3.9200000E-01,4.1545420E+00,2.2920694E+00
3.9300000E-01,4.1540017E+00,2.2815339E+00
3.9400000E-01,4.1534615E+00,2.2709983E+00
3.9500000E-01,4.1526563E+00,2.2606540E+00
3.9600000E-01,4.1503010E+00,2.2514291E+00
3.9700000E-01,4.1479457E+00,2.2422042E+00
3.9800000E-01,4.1455904E+00,2.2329793E+00
3.9900000E-01,4.1432351E+00,2.2237543E+00
4.0000000E-01,4.1407803E+00,2.2146704E+00
4.0100000E-01,4.1364731E+00,2.2082096E+00
4.0200000E-01,4.1321658E+00,2.2017488E+00
4.0300000E-01,4.1278586E+00,2.1952879E+00
4.0400000E-01,4.1235514E+00,2.1888271E+00
4.0500000E-01,4.1192442E+00,2.1823663E+00
4.0600000E-01,4.1149370E+00,2.1759055E+00
4.0700000E-01,4.1106298E+00,2.1694446E+00
4.0800000E-01,4.1062769E+00,2.1634505E+00
4.0900000E-01,4.1016795E+00,2.1599565E+00
4.1000000E-01,4.0970822E+00,2.1564625E+00
4.1100000E-01,4.0924848E+00,2.1529685E+00
4.1200000E-01,4.0878875E+00,2.1494745E+00
4.1300000E-01,4.0832901E+00,2.1459805E+00
4.1400000E-01,4.0794412E+00,2.1441471E+00
4.1500000E-01,4.0758843E+00,2.1429614E+00
4.1600000E-01,4.0723274E+00,2.1417758E+00
4.1700000E-01,4.0687705E+00,2.1405902E+00
4.1800000E-01,4.0652136E+00,2.1394045E+00
4.1900000E-01,4.0616567E+00,2.1382189E+00
4.2000000E-01,4.0580998E+00,2.1370333E+00
4.2100000E-01,4.0545429E+00,2.1358476E+00
4.2200000E-01,4.0512648E+00,2.1352451E+00
4.2300000E-01,4.0486861E+00,2.1361046E+00
4.2400000E-01,4.0461073E+00,2.1369642E+00
4.2500000E-01,4.0435286E+00,2.1378238E+00
4.2600000E-01,4.0409498E+00,2.1386834E+00
4.2700000E-01,4.0383711E+00,2.1395430E+00
4.2800000E-01,4.0366371E+00,2.1411407E+00
4.2900000E-01,4.0358621E+00,2.1435764E+00
4.3000000E-01,4.0350871E+00,2.1460121E+00
4.3100000E-01,4.0343121E+00,2.1484478E+00
4.3200000E-01,4.0335371E+00,2.1508834E+00
4.3300000E-01,4.0327621E+00,2.1533191E+00
4.3400000E-01,4.0319871E+00,2.1557548E+00
4.3500000E-01,4.0312121E+00,2.1581905E+00
4.3600000E-01,4.0304371E+00,2.1606262E+00
4.3700000E-01,4.0303495E+00,2.1633282E+00
4.3800000E-01,4.0311512E+00,2.1663747E+00
4.3900000E-01,4.0319530E+00,2.1694212E+00
4.4000000E-01,4.0327547E+00,2.1724677E+00
