Measured X,Measured Y,J  X,J  Y,Jph1 X,Jph1 Y,Jph2 X,Jph2 Y,Jph3 X,Jph3 Y,Jph4 X,Jph4 Y,Jph5 X,Jph5 Y,Jph6 X,Jph6 Y,Jph7 X,Jph7 Y,Jph8 X,Jph8 Y,Jph9 X,Jph9 Y,Jph10 X,Jph10 Y
4.3,0.071941563,-,-,4.3,0.073004677,4.3,0.10002653,4.3,0.11608278,4.3,0.13086936,4.3,0.14862199,4.3,0.15570238,4.3,0.16489191,4.3,0.17594768,4.3,0.19620109,4.3,0.23678769
4.4,0.071211219,-,-,4.4,0.073004677,4.4,0.10002653,4.4,0.11608278,4.4,0.13086936,4.4,0.14862199,4.4,0.15570238,4.4,0.16489191,4.4,0.17594768,4.4,0.19620109,4.4,0.23678769
4.5,0.064933469,-,-,4.5,0.073004677,4.5,0.10002653,4.5,0.11608278,4.5,0.13086936,4.5,0.14862199,4.5,0.15570238,4.5,0.16489191,4.5,0.17594768,4.5,0.19620109,4.5,0.23678769
4.6,0.051873469,-,-,4.6,0.073004677,4.6,0.10002653,4.6,0.11608278,4.6,0.13086936,4.6,0.14862199,4.6,0.15570238,4.6,0.16489191,4.6,0.17594768,4.6,0.19620109,4.6,0.23678769
4.7,0.029660109,-,-,4.7,0.073004677,4.7,0.10002653,4.7,0.11608278,4.7,0.13086936,4.7,0.14862199,4.7,0.15570238,4.7,0.16489191,4.7,0.17594768,4.7,0.19620109,4.7,0.23678769
4.8,0.00023698328,-,-,4.8,0.073004677,4.8,0.10002653,4.8,0.11608278,4.8,0.13086936,4.8,0.14862199,4.8,0.15570238,4.8,0.16489191,4.8,0.17594768,4.8,0.19620109,4.8,0.23678769
4.9,-0.042442531,-,-,4.9,0.073004677,4.9,0.10002653,4.9,0.11608278,4.9,0.13086936,4.9,0.14862199,4.9,0.15570238,4.9,0.16489191,4.9,0.17594768,4.9,0.19620109,4.9,0.23678769
5,-0.098407734,-,-,5,0.073004677,5,0.10002653,5,0.11608278,5,0.13086936,5,0.14862199,5,0.15570238,5,0.16489191,5,0.17594768,5,0.19620109,5,0.23678769
5.1,-0.17447969,-,-,5.1,0.073004677,5.1,0.10002653,5.1,0.11608278,5.1,0.13086936,5.1,0.14862199,5.1,0.15570238,5.1,0.16489191,5.1,0.17594768,5.1,0.19620109,5.1,0.23678769
5.2,-0.27578609,-,-,5.2,0.073004677,5.2,0.10002653,5.2,0.11608278,5.2,0.13086936,5.2,0.14862199,5.2,0.15570238,5.2,0.16489191,5.2,0.17594768,5.2,0.19620109,5.2,0.23678769
5.3,-0.41025906,-,-,5.3,0.073004677,5.3,0.10002653,5.3,0.11608278,5.3,0.13086936,5.3,0.14862199,5.3,0.15570238,5.3,0.16489191,5.3,0.17594768,5.3,0.19620109,5.3,0.23678769
5.4,-0.58789672,-,-,5.4,0.073004677,5.4,0.10002653,5.4,0.11608278,5.4,0.13086936,5.4,0.14862199,5.4,0.15570238,5.4,0.16489191,5.4,0.17594768,5.4,0.19620109,5.4,0.23678769
5.5,-0.81913953,-,-,5.5,0.073004677,5.5,0.10002653,5.5,0.11608278,5.5,0.13086936,5.5,0.14862199,5.5,0.15570238,5.5,0.16489191,5.5,0.17594768,5.5,0.19620109,5.5,0.23678769
5.6,-1.1120306,-,-,5.6,0.073004677,5.6,0.10002653,5.6,0.11608278,5.6,0.13086936,5.6,0.14862199,5.6,0.15570238,5.6,0.16489191,5.6,0.17594768,5.6,0.19620109,5.6,0.23678769
5.7,-1.4761619,-,-,5.7,0.073004677,5.7,0.10002653,5.7,0.11608278,5.7,0.13086936,5.7,0.14862199,5.7,0.15570238,5.7,0.16489191,5.7,0.17594768,5.7,0.19620109,5.7,0.23678769
5.8,-1.9395141,-,-,5.8,0.073004677,5.8,0.10002653,5.8,0.11608278,5.8,0.13086936,5.8,0.14862199,5.8,0.15570238,5.8,0.16489191,5.8,0.17594768,5.8,0.19620109,5.8,0.23678769
